요일,시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수
일,00시-02시,1084,41,267,1232,106
일,02시-04시,521,13,147,565,55
일,04시-06시,416,21,135,424,46
일,06시-08시,592,12,215,601,45
일,08시-10시,1087,32,353,1117,101
일,10시-12시,2089,27,615,2524,206
일,12시-14시,2888,29,844,3480,266
일,14시-16시,3107,35,941,3934,297
일,16시-18시,3015,41,838,3681,312
일,18시-20시,3063,33,883,3560,278
일,20시-22시,2446,35,702,2668,206
일,22시-24시,1504,28,390,1707,124
월,00시-02시,538,12,174,551,66
월,02시-04시,305,16,107,295,34
월,04시-06시,535,26,210,486,54
월,06시-08시,1880,41,552,1905,141
월,08시-10시,3377,49,927,3563,249
월,10시-12시,3119,59,899,3205,206
월,12시-14시,3267,41,958,3536,233
월,14시-16시,3544,41,977,3842,252
월,16시-18시,4023,38,1035,4508,311
월,18시-20시,4272,48,1098,4511,321
월,20시-22시,2786,49,782,2921,209
월,22시-24시,1822,34,536,1982,142
화,00시-02시,759,17,276,771,77
화,02시-04시,321,18,124,300,32
화,04시-06시,544,28,195,470,41
화,06시-08시,1789,36,553,1757,143
화,08시-10시,3258,47,830,3543,193
화,10시-12시,3094,34,852,3206,229
화,12시-14시,3196,44,960,3233,274
화,14시-16시,3536,45,977,3756,259
화,16시-18시,4089,32,1018,4360,307
화,18시-20시,4287,41,1125,4450,319
화,20시-22시,2935,38,778,3013,229
화,22시-24시,1945,37,527,2121,159
수,00시-02시,774,35,248,797,65
수,02시-04시,363,17,113,331,40
수,04시-06시,553,32,212,503,39
수,06시-08시,1789,37,543,1764,124
수,08시-10시,3280,38,822,3499,276
수,10시-12시,3024,52,828,3091,264
수,12시-14시,3292,46,912,3511,277
수,14시-16시,3547,34,1010,3709,282
수,16시-18시,4171,33,1043,4441,344
수,18시-20시,4582,44,1175,4748,371
수,20시-22시,2879,23,769,3157,196
수,22시-24시,2032,25,545,2219,180
목,00시-02시,796,31,227,836,62
목,02시-04시,365,19,126,348,38
목,04시-06시,534,36,209,437,52
목,06시-08시,1877,49,549,1860,122
목,08시-10시,3384,22,810,3678,237
목,10시-12시,3061,51,847,3125,210
목,12시-14시,3294,52,973,3342,228
목,14시-16시,3386,44,947,3576,282
목,16시-18시,3925,29,979,4182,316
목,18시-20시,4391,46,1127,4506,329
목,20시-22시,2876,43,765,2942,215
목,22시-24시,2085,42,561,2246,174
금,00시-02시,816,24,250,841,85
금,02시-04시,389,23,103,400,46
금,04시-06시,589,21,215,548,35
금,06시-08시,1770,44,533,1696,142
금,08시-10시,3353,37,862,3560,209
금,10시-12시,3085,33,878,3140,220
금,12시-14시,3520,35,999,3664,280
금,14시-16시,3809,47,976,4243,329
금,16시-18시,4609,36,1152,4920,396
금,18시-20시,5177,52,1251,5479,410
금,20시-22시,3322,42,907,3591,267
금,22시-24시,2576,46,670,2992,225
토,00시-02시,1201,21,353,1370,96
토,02시-04시,537,29,186,542,67
토,04시-06시,591,19,193,534,57
토,06시-08시,1028,33,351,987,71
토,08시-10시,1915,32,612,2048,149
토,10시-12시,3257,30,913,3933,273
토,12시-14시,3965,36,1094,4787,383
토,14시-16시,3711,34,985,4572,343
토,16시-18시,3670,39,930,4523,344
토,18시-20시,3711,40,967,4222,332
토,20시-22시,2920,38,750,3399,223
토,22시-24시,2316,27,635,2666,193
