발생월,요일,사고건수,사망자수,중상자수,경상자수,부상신고자수
01,일,1598,20,444,1807,114
01,월,1978,31,573,2035,162
01,화,2032,25,579,2097,156
01,수,2255,29,625,2342,185
01,목,2103,30,519,2199,161
01,금,2556,35,660,2804,177
01,토,2387,27,648,2857,179
02,일,1492,29,424,1768,140
02,월,2164,38,652,2254,155
02,화,2277,25,665,2359,144
02,수,2355,20,625,2524,186
02,목,2020,31,550,2142,166
02,금,2247,27,583,2511,166
02,토,1956,33,541,2409,196
03,일,1624,22,457,1936,153
03,월,2693,42,761,2931,215
03,화,2774,30,780,2905,235
03,수,2761,31,733,2886,209
03,목,2143,30,605,2177,174
03,금,2458,29,645,2678,170
03,토,2147,25,581,2509,188
04,일,1773,20,566,2108,161
04,월,2417,30,652,2596,185
04,화,2309,38,671,2434,184
04,수,2323,30,691,2447,169
04,목,3042,35,830,3175,214
04,금,3152,31,889,3351,229
04,토,2387,28,684,2711,195
05,일,2261,43,653,2574,222
05,월,2770,38,740,2906,195
05,화,2487,33,685,2600,196
05,수,2216,37,645,2375,185
05,목,2283,39,618,2448,177
05,금,2469,24,636,2605,199
05,토,2892,41,795,3403,268
06,일,1838,26,565,2085,180
06,월,2424,42,663,2565,150
06,화,2926,32,810,3080,215
06,수,2978,30,831,3075,240
06,목,2454,39,670,2564,213
06,금,2537,32,743,2678,215
06,토,2418,26,737,2790,221
07,일,1706,26,522,1994,154
07,월,2337,16,668,2411,179
07,화,2333,46,644,2467,180
07,수,2462,39,598,2625,193
07,목,2948,41,794,3120,205
07,금,3242,39,919,3407,265
07,토,2966,47,816,3435,274
08,일,2018,33,600,2398,208
08,월,2722,42,793,2991,205
08,화,2784,32,705,2922,234
08,수,2229,33,592,2412,171
08,목,2245,36,603,2322,167
08,금,2362,39,619,2486,200
08,토,2058,32,604,2375,175
09,일,1680,25,499,1933,178
09,월,2261,34,659,2407,191
09,화,2232,44,607,2360,168
09,수,2913,32,778,3036,222
09,목,3021,40,799,3129,200
09,금,2593,36,711,2635,204
09,토,2312,35,653,2684,199
10,일,2422,49,683,2940,213
10,월,2328,43,659,2601,154
10,화,2365,32,674,2442,168
10,수,2424,44,646,2515,209
10,목,2466,56,711,2515,167
10,금,3433,52,866,3615,270
10,토,2862,36,760,3233,266
11,일,1876,25,530,2204,172
11,월,3080,56,861,3204,246
11,화,3079,48,844,3152,220
11,수,2470,40,724,2507,234
11,목,2482,42,690,2486,211
11,금,2731,45,703,2842,246
11,토,2378,29,656,2779,195
12,일,1524,29,387,1746,147
12,월,2294,42,574,2404,181
12,화,2155,32,551,2162,162
12,수,2900,51,732,3026,255
12,목,2767,45,731,2801,210
12,금,3235,51,822,3462,303
12,토,2059,19,494,2398,175
